"School","Type","lon","lat"
"Radin Mas Primary School, Singapore","PRIMARY","103.8238799","1.2750693"
"Raffles Girls' Primary School, Singapore","PRIMARY","103.8062274","1.3300317"
"Red Swastika School, Singapore","PRIMARY","103.9341987","1.3331408"
"River Valley Primary School, Singapore","PRIMARY","103.8363894","1.2938838"
"Riverside Primary School, Singapore","PRIMARY","103.8017597","1.4471894"
"Rivervale Primary School, Singapore","PRIMARY","103.904383","1.393196"
"Rosyth School, Singapore","PRIMARY","103.8746431","1.3729086"
"Rulang Primary School, Singapore","PRIMARY","103.71896","1.34694"
"Sembawang Primary School, Singapore","PRIMARY","103.8210452","1.4453649"
"Seng Kang Primary School, Singapore","PRIMARY","103.8998085","1.3894174"
"Sengkang Green Primary School, Singapore","PRIMARY","103.8751169","1.3925337"
"Shuqun Primary School, Singapore","PRIMARY","103.7215376","1.3471816"
"Si Ling Primary School, Singapore","PRIMARY","103.78577","1.432693"
"Singapore Chinese Girls' Primary School, Singapore","PRIMARY","103.8298227","1.3205127"
"South View Primary School, Singapore","PRIMARY","103.7471451","1.381324"
"Springdale Primary School, Singapore","PRIMARY","103.8896801","1.3949667"
"St. Andrew's Junior School, Singapore","PRIMARY","103.8650358","1.3314591"
"St. Anthony's Canossian Primary School, Singapore","PRIMARY","103.941072","1.3342821"
"St. Anthony's Primary School, Singapore","PRIMARY","103.748959","1.3641887"
"St. Gabriel's Primary School, Singapore","PRIMARY","103.8623448","1.3496393"
"St. Hilda's Primary School, Singapore","PRIMARY","103.9361045","1.3496843"
"St. Joseph's Institution Junior, Singapore","PRIMARY","103.8458457","1.3174712"
"St. Margaret's Primary School, Singapore","PRIMARY","103.8816751","1.3250653"
"St. Stephen's School, Singapore","PRIMARY","103.917604","1.3190059"
"Stamford Primary School, Singapore","PRIMARY","103.8572432","1.3039165"
"Tampines North Primary School, Singapore","PRIMARY","103.948581","1.360298"
"Tampines Primary School, Singapore","PRIMARY","103.94402","1.349774"
"Tanjong Katong Primary School, Singapore","PRIMARY","103.93873","1.3246718"
"Tao Nan School, Singapore","PRIMARY","103.911434","1.3049059"
"Teck Ghee Primary School, Singapore","PRIMARY","103.8505239","1.365396"
"Teck Whye Primary School, Singapore","PRIMARY","103.7537174","1.3837636"
"Telok Kurau Primary School, Singapore","PRIMARY","103.911406","1.3308237"
"Temasek Primary School, Singapore","PRIMARY","103.945488","1.317502"
"Townsville Primary School, Singapore","PRIMARY","103.8537829","1.3600534"
"Unity Primary School, Singapore","PRIMARY","103.74729","1.403245"
"Valour Primary School, Singapore","PRIMARY","103.8995102","1.4065167"
"Waterway Primary School, Singapore","PRIMARY","103.9184708","1.3990541"
"Wellington Primary School, Singapore","PRIMARY","103.8226331","1.4517917"
"West Grove Primary School, Singapore","PRIMARY","103.6989427","1.3446825"
"West Spring Primary School, Singapore","PRIMARY","103.7662554","1.3893631"
"West View Primary School, Singapore","PRIMARY","103.7601419","1.3837275"
"Westwood Primary School, Singapore","PRIMARY","103.7004708","1.3472361"
"White Sands Primary School, Singapore","PRIMARY","103.9610714","1.3654493"
"Woodgrove Primary School, Singapore","PRIMARY","103.7900902","1.433264"
"Woodlands Primary School, Singapore","PRIMARY","103.791794","1.436771"
"Woodlands Ring Primary School, Singapore","PRIMARY","103.7979280","1.4348390"
"Xinghua Primary School, Singapore","PRIMARY","103.8901506","1.3578717"
"Xingnan Primary School, Singapore","PRIMARY","103.68778","1.34283"
"Xinmin Primary School, Singapore","PRIMARY","103.883074","1.371371"
"Xishan Primary School, Singapore","PRIMARY","103.8378387","1.4334989"
"Yangzheng Primary School, Singapore","PRIMARY","103.8683225","1.3488247"
"Yew Tee Primary School, Singapore","PRIMARY","103.7511849","1.396978"
"Yio Chu Kang Primary School, Singapore","PRIMARY","103.8855819","1.3779984"
"Yishun Primary School, Singapore","PRIMARY","103.8338127","1.4334926"
"Yu Neng Primary School, Singapore","PRIMARY","103.9318969","1.3338292"
"Yuhua Primary School, Singapore","PRIMARY","103.7409109","1.3429774"
"Yumin Primary School, Singapore","PRIMARY","103.9511251","1.3516199"
"Zhangde Primary School, Singapore","PRIMARY","103.826193","1.284578"
"Zhenghua Primary School, Singapore","PRIMARY","103.7691902","1.380192"
"Zhonghua Primary School, Singapore","PRIMARY","103.869558","1.359895"
"Anglo-Chinese School (Independent), Singapore","PRIMARY","103.7806141","1.3025291"
"Catholic High School, Singapore","PRIMARY","103.8451234","1.3546049"
"CHIJ St. Nicholas Girls' School, Singapore","PRIMARY","103.8341703","1.3740310"
